Datum,Stunde,Strahlung Rieden [kW/m²],Temp. Rieden [°C]
2022-01-01,0,0.0,
2022-01-01,1,0.0,
2022-01-01,2,0.0,
2022-01-01,3,0.0,
2022-01-01,4,0.0,
2022-01-01,5,0.0,
2022-01-01,6,0.0,
2022-01-01,7,0.0,
2022-01-01,8,0.007,
2022-01-01,9,0.121,
2022-01-01,10,0.242,
2022-01-01,11,0.33075,
2022-01-01,12,0.369,
2022-01-01,13,0.35225,
2022-01-01,14,0.269,
2022-01-01,15,0.15375,
2022-01-01,16,0.067,
2022-01-01,17,0.0,
2022-01-01,18,0.0,
2022-01-01,19,0.0,
2022-01-01,20,0.0,
2022-01-01,21,0.0,
2022-01-01,22,0.0,
2022-01-01,23,0.0,
2022-01-02,0,0.0,
2022-01-02,1,0.0,
2022-01-02,2,0.0,
2022-01-02,3,0.0,
2022-01-02,4,0.0,
2022-01-02,5,0.0,
2022-01-02,6,0.0,
2022-01-02,7,0.0,
2022-01-02,8,0.01625,
2022-01-02,9,0.047,
2022-01-02,10,0.23975000000000002,
2022-01-02,11,0.24175,
2022-01-02,12,0.19324999999999998,
2022-01-02,13,0.09875,
2022-01-02,14,0.121,
2022-01-02,15,0.07975,
2022-01-02,16,0.00425,
2022-01-02,17,0.0,
2022-01-02,18,0.0,
2022-01-02,19,0.0,
2022-01-02,20,0.0,
2022-01-02,21,0.0,
2022-01-02,22,0.0,
2022-01-02,23,0.0,
2022-01-03,0,0.0,
2022-01-03,1,0.0,
2022-01-03,2,0.0,
2022-01-03,3,0.0,
2022-01-03,4,0.0,
2022-01-03,5,0.0,
2022-01-03,6,0.0,
2022-01-03,7,0.0,
2022-01-03,8,0.001,
2022-01-03,9,0.0335,
2022-01-03,10,0.094,
2022-01-03,11,0.11525,
2022-01-03,12,0.0775,
2022-01-03,13,0.068,
2022-01-03,14,0.07675,
2022-01-03,15,0.075,
2022-01-03,16,0.018000000000000002,
2022-01-03,17,0.0,
2022-01-03,18,0.0,
2022-01-03,19,0.0,
2022-01-03,20,0.0,
2022-01-03,21,0.0,
2022-01-03,22,0.0,
2022-01-03,23,0.0,
2022-01-04,0,0.0,
2022-01-04,1,0.0,
2022-01-04,2,0.0,
2022-01-04,3,0.0,
2022-01-04,4,0.0,
2022-01-04,5,0.0,
2022-01-04,6,0.0,
2022-01-04,7,0.0,
2022-01-04,8,0.0,
2022-01-04,9,0.0125,
2022-01-04,10,0.0355,
2022-01-04,11,0.057999999999999996,
2022-01-04,12,0.1125,
2022-01-04,13,0.1575,
2022-01-04,14,0.0535,
2022-01-04,15,0.03675,
2022-01-04,16,0.00125,
2022-01-04,17,0.0,
2022-01-04,18,0.0,
2022-01-04,19,0.0,
2022-01-04,20,0.0,
2022-01-04,21,0.0,
2022-01-04,22,0.0,
2022-01-04,23,0.0,
2022-01-05,0,0.0,
2022-01-05,1,0.0,
2022-01-05,2,0.0,
2022-01-05,3,0.0,
2022-01-05,4,0.0,
2022-01-05,5,0.0,
2022-01-05,6,0.0,
2022-01-05,7,0.0,
2022-01-05,8,0.0,
2022-01-05,9,0.0005,
2022-01-05,10,0.029249999999999998,
2022-01-05,11,0.04175,
2022-01-05,12,0.051000000000000004,
2022-01-05,13,0.08499999999999999,
2022-01-05,14,0.101,
2022-01-05,15,0.08275,
2022-01-05,16,0.04575,
2022-01-05,17,0.0,
2022-01-05,18,0.0,
2022-01-05,19,0.0,
2022-01-05,20,0.0,
2022-01-05,21,0.0,
2022-01-05,22,0.0,
2022-01-05,23,0.0,
2022-01-06,0,0.0,
2022-01-06,1,0.0,
2022-01-06,2,0.0,
2022-01-06,3,0.0,
2022-01-06,4,0.0,
2022-01-06,5,0.0,
2022-01-06,6,0.0,
2022-01-06,7,0.0,
2022-01-06,8,0.0,
2022-01-06,9,0.04225,
2022-01-06,10,0.0465,
2022-01-06,11,0.08375,
2022-01-06,12,0.116,
2022-01-06,13,0.1065,
2022-01-06,14,0.0795,
2022-01-06,15,0.057999999999999996,
2022-01-06,16,0.0325,
2022-01-06,17,0.0,
2022-01-06,18,0.0,
2022-01-06,19,0.0,
2022-01-06,20,0.0,
2022-01-06,21,0.0,
2022-01-06,22,0.0,
2022-01-06,23,0.0,
2022-01-07,0,0.0,
2022-01-07,1,0.0,
2022-01-07,2,0.0,
2022-01-07,3,0.0,
2022-01-07,4,0.0,
2022-01-07,5,0.0,
2022-01-07,6,0.0,
2022-01-07,7,0.0,
2022-01-07,8,0.01925,
2022-01-07,9,0.059,
2022-01-07,10,0.10425,
2022-01-07,11,0.191,
2022-01-07,12,0.2165,
2022-01-07,13,0.16425,
2022-01-07,14,0.1275,
2022-01-07,15,0.068,
2022-01-07,16,0.01575,
2022-01-07,17,0.0,
2022-01-07,18,0.0,
2022-01-07,19,0.0,
2022-01-07,20,0.0,
2022-01-07,21,0.0,
2022-01-07,22,0.0,
2022-01-07,23,0.0,
2022-01-08,0,0.0,
2022-01-08,1,0.0,
2022-01-08,2,0.0,
2022-01-08,3,0.0,
2022-01-08,4,0.0,
2022-01-08,5,0.0,
2022-01-08,6,0.0,
2022-01-08,7,0.0,
2022-01-08,8,0.00275,
2022-01-08,9,0.0385,
2022-01-08,10,0.04875,
2022-01-08,11,0.1205,
2022-01-08,12,0.14075,
2022-01-08,13,0.173,
2022-01-08,14,0.16649999999999998,
2022-01-08,15,0.10725,
2022-01-08,16,0.03325,
2022-01-08,17,0.0,
2022-01-08,18,0.0,
2022-01-08,19,0.0,
2022-01-08,20,0.0,
2022-01-08,21,0.0,
2022-01-08,22,0.0,
2022-01-08,23,0.0,
2022-01-09,0,0.0,
2022-01-09,1,0.0,
2022-01-09,2,0.0,
2022-01-09,3,0.0,
2022-01-09,4,0.0,
2022-01-09,5,0.0,
2022-01-09,6,0.0,
2022-01-09,7,0.0,
2022-01-09,8,0.0,
2022-01-09,9,0.01725,
2022-01-09,10,0.06275,
2022-01-09,11,0.11274999999999999,
2022-01-09,12,0.17025,
2022-01-09,13,0.14225,
2022-01-09,14,0.11375,
2022-01-09,15,0.024999999999999998,
2022-01-09,16,0.0245,
2022-01-09,17,0.0,
2022-01-09,18,0.0,
2022-01-09,19,0.0,
2022-01-09,20,0.0,
2022-01-09,21,0.0,
2022-01-09,22,0.0,
2022-01-09,23,0.0,
2022-01-10,0,0.0,
2022-01-10,1,0.0,
2022-01-10,2,0.0,
2022-01-10,3,0.0,
2022-01-10,4,0.0,
